Store ID,Store Name,num,Max Capacity
3671590930,Yahya Roastery,1203491727 -01273496220,70
2595755757,Better mashal,1203491727 -01273496220,70
6651699785,city Games,1113077794,30
3976106944,Republic Dry Clean ,1061018006,30
9421433420,DRy clean elkoptan,1093288230,45
5105389640,Bashir vegetables,1275137530,70
9839600952,MARKET ABO TALEB,1000907611,60
3221758880,Pet food,1226932021,40
8549083594,Two m,1226932021,40
8836674828,Tota's Barber Shop ,1270008292,30
8911352391,Megaa Phone,1273191752,25
5353831907,المعلم,1203491727 -01273496220,70
3051255188,RUQAN MARKET ,1203491727 -01273496220,20
8739400810,ماركت أولاد رجب,1093796947,30
2300403232,DOSY SALON,1281824130,20
5157004524,DOWN.2,1097013153,30
8638059992,MARKET MAKA,1141087184,70
1228844307,مكتبة ورقه وقلم,1113077794,30
8630444140,مكتبة المستر,1501407602,30
5342604470,Kimo's Computer,1093796947,30
2394073037,KAREM SALON,1093288230,70
7567541152,Engineering for Electrical Works,1221568767,30
6852304055,ALDERY,1203491727 -01273496220,70
8578470998,Abo iessa,1141087184,70
2580641601,Family Market ,non,0
4718866738,مكتبة الوسام,1008882850,35
5608949960,بلايستيشن فوكس,1220346768,70
9884842152,bazar fuad,1281373006,30
2901346236,Al-Hawari and Al-Farouk Furniture,1289654776,40
2476869790,Mr.cleaner,1200801208,50
9377657720,Makka market,1141087184,70
1385400645,ORGAERA,1141087184,60
7484062773,Engiz Services ,1229272377,50
5196854048,ماركت عصام,1273337569,35
8437053544,بازار الدخاخني 2,1203491727 -01273496220,70
1151800427,Al-Fath Laundry,mina,50
6166740196,ساندي ماركت,non,25
3599079435,Fresh Market luran,ahmed,15
9951235440,ماركت رحيم,1007914672,70
2869596875,Asmak alfth,mina,70
3297312970,Al-Hawari for Home Appliances and Furniture,1289654776,40
4438668684,Tweety,1010619904,40
5717666393,market wael,1009296279,70
4126454127,toffy,1113077794,30
4937562082,DOCTORZ COMBANY,1285476927,40
2960600661,Turkey,1141087184,70
8408983777,صابركو للأدوات الصحيه,1015182368,35
2448666054,Akram,1203491727 -01273496220,50
4712586433,الدخاخني,1203491727 -01273496220,70
6962867409,المعلم2,1203491727 -01273496220,70
2957899808,Kimo Phone,1288399568,30
6376233374,Noor Phone,1225405993,40
9735452235,بازار محمد الزعيم,ahmed ,15
9542194283,BOB MARLEY,1203491727 -01273496220,20
1399127746,Murad Market,1003998419,15
7649403763,طيور النجار,100447751,30
5033808212,Down,1097013153,50
8320226745,الديري2,1203491727 -01273496220,70
4197522754,Essa Coffe,1141087184,70
8919345927,جنه للأدوات الصحيه,1015182368,35
3704402730,الأميره ماركت,1282009978,30
9035637147,Sky for Travel ,1221568767,30
4727443596,MARKET FRESH,non,20
8090008725,ماركت الحمد,non,20
7384025292,فكهانى اانصر,1141087184,70
3358752758,الياسمين ماركت,1007914672,30
7283267077,Friends Center,1034883067,30
7775011772,Abu Fares Accessories,1034883067,20
4483899565,BLACK& WAhite,1273337569,30
7177217236,OSO ALEX,1279685297,50
8463737398,Al-Mawas Company,non,created  not work
7993216861,ماركت طيبه,1008992173,30
5361325787,DRY CLEAN SPORTING,1273337569,40
9123848905,ALEX TECHNO,1093288230,30
